---config@码表分类=主码-1
---config@码表别名= 符号编码
べ	ofrx
ぺ	ofrx
ほ	ofrx
ぼ	ofrx
ぽ	ofrx
ま	ofrx
み	ofrx
む	ofrx
め	ofrx
も	ofrx
ゃ	ofrx
や	ofrx
ゅ	ofrx
ゆ	ofrx
ょ	ofrx
よ	ofrx
ら	ofrx
り	ofrx
る	ofrx
れ	ofrx
ろ	ofrx
ゎ	ofrx
わ	ofrx
ゐ	ofrx
ゑ	ofrx
を	ofrx
ん	ofrx
゛	ofrx
゜	ofrx
ゝ	ofrx
ゞ	ofrx
勹	ofpp
灬	ofpp
冫	ofpp
艹	ofpp
屮	ofpp
辶	ofpp
刂	ofpp
匚	ofpp
阝	ofpp
廾	ofpp
丨	ofpp
虍	ofpp
彐	ofpp
卩	ofpp
钅	ofpp
冂	ofpp
冖	ofpp
宀	ofpp
疒	ofpp
肀	ofpp
丿	ofpp
攵	ofpp
凵	ofpp
犭	ofpp
亻	ofpp
彡	ofpp
饣	ofpp
礻	ofpp
扌	ofpp
氵	ofpp
纟	ofpp
亠	ofpp
囗	ofpp
忄	ofpp
讠	ofpp
衤	ofpp
廴	ofpp
尢	ofpp
夂	ofpp
丶	ofpp
丬	ofpp
ā	ofpy
á	ofpy
ǎ	ofpy
à	ofpy
ō	ofpy
ó	ofpy
ǒ	ofpy
ò	ofpy
ê	ofpy
ē	ofpy
é	ofpy
ě	ofpy
è	ofpy
ī	ofpy
í	ofpy
ǐ	ofpy
ì	ofpy
ǖ	ofpy
ǘ	ofpy
ǚ	ofpy
ǜ	ofpy
ü	ofpy
ū	ofpy
ú	ofpy
ǔ	ofpy
ù	ofpy
Ⅰ	ofld
Ⅱ	ofld
Ⅲ	ofld
Ⅳ	ofld
Ⅴ	ofld
Ⅵ	ofld
Ⅶ	ofld
Ⅷ	ofld
Ⅸ	ofld
Ⅹ	ofld
Ⅺ	ofld
Ⅻ	ofld
ⅰ	oflx
ⅱ	oflx
ⅲ	oflx
ⅳ	oflx
ⅴ	oflx
ⅵ	oflx
ⅶ	oflx
ⅷ	oflx
ⅸ	oflx
ⅹ	oflx
℃	oftu
°	oftu
‰	oftu
♂	oftu
♀	oftu
§	oftu
№	oftu
☆	oftu
★	oftu
○	oftu
●	oftu
◎	oftu
◇	oftu
◆	oftu
□	oftu
■	oftu
△	oftu
▲	oftu
※	oftu
〓	oftu
＃	oftu
＆	oftu
＠	oftu
＼	oftu
＾	oftu
＿	oftu
￣	oftu
＋	ofux
－	ofux
＜	ofux
＝	ofux
＞	ofux
±	ofux
×	ofux
÷	ofux
∈	ofux
∏	ofux
∑	ofux
∕	ofux
√	ofux
∝	ofux
∞	ofux
∟	ofux
∠	ofux
∣	ofux
∥	ofux
∧	ofux
∨	ofux
∩	ofux
∪	ofux
∫	ofux
∮	ofux
∴	ofux
∵	ofux
∶	ofux
∷	ofux
∽	ofux
≈	ofux
≌	ofux
≒	ofux
≠	ofux
≡	ofux
≤	ofux
≥	ofux
≦	ofux
≧	ofux
≮	ofux
≯	ofux
⊕	ofux
⊙	ofux
⊥	ofux
⊿	ofux
㈠	ofvu
㈡	ofvu
㈢	ofvu
㈣	ofvu
㈤	ofvu
㈥	ofvu
㈦	ofvu
㈧	ofvu
㈨	ofvu
㈩	ofvu
ㄅ	ofvy
ㄆ	ofvy
ㄇ	ofvy
ㄈ	ofvy
ㄉ	ofvy
ㄊ	ofvy
ㄋ	ofvy
ㄌ	ofvy
ㄍ	ofvy
ㄎ	ofvy
ㄏ	ofvy
ㄐ	ofvy
ㄑ	ofvy
ㄒ	ofvy
ㄓ	ofvy
ㄔ	ofvy
ㄕ	ofvy
ㄖ	ofvy
ㄗ	ofvy
ㄘ	ofvy
ㄙ	ofvy
ㄧ	ofvy
ㄨ	ofvy
ㄩ	ofvy
ㄚ	ofvy
ㄛ	ofvy
ㄜ	ofvy
ㄝ	ofvy
ㄞ	ofvy
ㄟ	ofvy
ㄠ	ofvy
ㄡ	ofvy
ㄢ	ofvy
ㄣ	ofvy
ㄤ	ofvy
ㄥ	ofvy
ㄦ	ofvy
Α	ofxd
Β	ofxd
Γ	ofxd
Δ	ofxd
Ε	ofxd
Ζ	ofxd
Η	ofxd
Θ	ofxd
Ι	ofxd
Κ	ofxd
Λ	ofxd
Μ	ofxd
Ν	ofxd
Ξ	ofxd
Ο	ofxd
Π	ofxd
Ρ	ofxd
Σ	ofxd
Τ	ofxd
Υ	ofxd
Φ	ofxd
Χ	ofxd
Ψ	ofxd
Ω	ofxd
α	ofxx
β	ofxx
γ	ofxx
δ	ofxx
ε	ofxx
ζ	ofxx
η	ofxx
θ	ofxx
ι	ofxx
κ	ofxx
λ	ofxx
μ	ofxx
ν	ofxx
ξ	ofxx
ο	ofxx
π	ofxx
ρ	ofxx
σ	ofxx
τ	ofxx
υ	ofxx
φ	ofxx
χ	ofxx
ψ	ofxx
ω	ofxx
①	ofyu
②	ofyu
③	ofyu
④	ofyu
⑤	ofyu
⑥	ofyu
⑦	ofyu
⑧	ofyu
⑨	ofyu
⑩	ofyu
┌	ofvb
└	ofvb
┐	ofvb
┘	ofvb
─	ofvb
│	ofvb
├	ofvb
┤	ofvb
┬	ofvb
┴	ofvb
┼	ofvb
┏	ofvb
┗	ofvb
┓	ofvb
┛	ofvb
━	ofvb
┃	ofvb
┣	ofvb
┫	ofvb
┳	ofvb
┻	ofvb
╋	ofvb
¹	ofub
²	ofub
³	ofub
⁴	ofub
⁵	ofub
⁶	ofub
⁷	ofub
⁸	ofub
⁹	ofub
⁰	ofub
⁺	ofub
⁻	ofub
⁼	ofub
⁽	ofub
⁾	ofub
ⁿ	ofub
ˣ	ofub
₁	ofxb
₂	ofxb
₃	ofxb
₄	ofxb
₅	ofxb
₆	ofxb
₇	ofxb
₈	ofxb
₉	ofxb
₀	ofxb
₊	ofxb
₋	ofxb
₌	ofxb
₍	ofxb
₎	ofxb
ₙ	ofxb
ₓ	ofxb
$ddcmd(amkeyboard(<37.2><111>),Q傲慢)	oqam
$ddcmd(aiqkeyboard(<37.3><111>),Q爱情)	oqaq
$ddcmd(bbkeyboard(<37.2><111>),Q便便)	oqbb
$ddcmd(bqkeyboard(<37.2><111>),Q抱拳)	oqbq
$ddcmd(baiykeyboard(<37.4><111>),Q白眼)	oqby
$ddcmd(bzkeyboard(<37.2><111>),Q闭嘴)	oqbz
$ddcmd(cdkeyboard(<37.2><111>),Q菜刀)	oqcd
$ddcmd(chkeyboard(<37.2><111>),Q擦汗)	oqch
$ddcmd(cykeyboard(<37.2><111>),Q呲牙)	oqcy
$ddcmd(dbkeyboard(<37.2><111>),Q大兵)	oqdb
$ddcmd(dgkeyboard(<37.2><111>),Q蛋糕)	oqdg
$ddcmd(dkkeyboard(<37.2><111>),Q大哭)	oqdk
$ddcmd(dxkeyboard(<37.2><111>),Q凋谢)	oqdx
$ddcmd(dykeyboard(<37.2><111>),Q得意)	oqdy
$ddcmd(fdkeyboard(<37.2><111>),Q发呆)	oqfd
$ddcmd(fendoukeyboard(<37.6><111>),Q奋斗)	oqfd
$ddcmd(fankeyboard(<37.3><111>),Q饭)	oqfj
$ddcmd(fnkeyboard(<37.2><111>),Q愤怒)	oqfn
$ddcmd(fwkeyboard(<37.2><111>),Q飞吻)	oqfw
$ddcmd(ggkeyboard(<37.2><111>),Q尴尬)	oqgg
$ddcmd(gzkeyboard(<37.2><111>),Q鼓掌)	oqgv
$ddcmd(gykeyboard(<37.2><111>),Q勾引)	oqgy
$ddcmd(hanxkeyboard(<37.4><111>),Q憨笑)	oqhx
$ddcmd(huaixkeyboard(<37.5><111>),Q坏笑)	oqhx
$ddcmd(hxkeyboard(<37.2><111>),Q害羞)	oqhx
$ddcmd(cjkeyboard(<37.2><111>),Q差劲)	oqij
