---config@码表分类=主码-4
---config@码表别名= 增补字
鼓浪屿	glyu
寡廉鲜耻	glxi
格林威治	glwv
过了这个村就没这个店了	glvl
光秃	gltu
古里古怪	glgg
高楼大厦	gldu
搞了半天	glbt
公开信	gkxb
鬼哭神嚎	gkuh
公开赛	gksd
关节炎	gjyj
甘休	gjxq
国际主义	gjvy
过江之鲫	gjvj
管见所及	gjsj
过街老鼠	gjlu
感觉良好	gjlh
公积金	gjjb
甘醇	gjiy
干劲冲天	gjit
根据地	gjde
干才	gjcd
过程中	givs
刚出狼窝，又入虎口	gilk
观察力	gili
古惑仔	ghzd
搞混了	ghle
共和党	ghdh
搞搞震	ggvf
骨骼清奇	ggqj
关公面前耍大刀	ggmd
孤寡老人	gglr
改革创新	ggix
公共场所	ggis
狗改不了吃屎	ggbu
搞风搞雨	gfgy
苟富贵，勿相忘	gfgw
隔间	gejm
高尔夫球	gefq
公道自在人心	gdzx
改选	gdxr
各打五十大板	gdwb
扛鼎之作	gdvz
古典主义	gdvy
古道热肠	gdri
光打雷不下雨	gdly
高等教育	gdjy
搞东搞西	gdgx
高一	gcyi
高三	gcsj
高冷	gclg
高工	gcgs
搞鬼	gcgv
高二	gcer
光彩夺目	gcdm
更不用说	gbyu
鬼不像鬼	gbxg
胳膊肘往外拐	gbvg
更别说	gbuo
搞半天	gbtm
更不能	gbng
更不可能	gbkn
赶不及	gbji
高矮胖瘦	gapu
合理性	glxk
合久必分	gjbf
合成纤维	giqw
合乎逻辑	ghlj
句句在理	ggzl
涡轮	goly
莞尔一笑	geyx
后仰	hzyh
候诊	hzvf
后山	hzuj
洪泽湖	hzhu
汉贼不两立	hzbl
花园洋房	hyyf
话音未落	hywl
荒淫无度	hymd
好一阵子	hyvz
后院起火	hyqh
获益良多	hyld
鸿雁传书	hyiu
行有行规	hyhg
诲淫诲盗	hyhd
混搭	hyda
花样百出	hybi
好戏在后头	hxzt
横行无忌	hhmj
花猪	hxvu
混淆是非	hxuf
欢欣雀跃	hxqy
滑腻	hxni
活血化瘀	hxhy
活学活用	hxhy
化学反应	hxfy
毫无怨言	hmyy
毫无预兆	hmyv
毫无征兆	hmvv
换位思考	hwsk
黑猫	hwmc
毫无办法	hmbf
会晤	hvwu
会审	hvuf
晦涩	hvse
蕙质兰心	hvlx
厚着脸皮	hvlp
回踩	hvcd
会者不难	hvbn
护眼	huyj
还手之力	huvl
户名	humk
呼噜	hulu
黄鼠狼给鸡拜年	huln
护栏	hulj
欢声雷动	huld
湖景	hujk
互换	huhr
好说歹说	hudu
护垫	hudm
昏睡百年	hubn
回头再说	htzu
回天无力	html
红头文件	htwj
昏头转向	htvx
活脱脱	htto
回头看看	htkk
黑天鹅	htee
撼天动地	htdd
横挑鼻子竖挑眼	htby
皇天不负有心人	htbr
互诉衷肠	hsvi
哄着	hsvc
红楼	hslz
红椒	hsjn
好死不如赖活	hsbh
换组	hrzu
害人之心不可有，防人之心不可无	hrvm
换回	hrhv
花入各眼	hrgy
活人不能让尿憋死	hrbs
换气扇	hquj
和气生财	hquc
魂牵梦系	hqmj
或轻或重	hqhi
海平面	hpmm
胡拼乱凑	hplc
黄埔军校	hbjj
狐朋狗党	hpgd
货单	hodj
湖南省	hnug
河南省	hnug
黄梅戏	hmxi
浩渺无垠	hmmy
灰蒙蒙	hmmg
坏毛病	hmbk
坏了一锅粥	hlyv
晃眼	hlyj
黄龙	hlls
话里话外	hlhw
慌里慌张	hlhv
惠灵顿	hldy
虎口脱险	hktx
横空出世	hkiu
混口饭吃	hkfi
花开富贵	hkfg
户口簿	hkbo
户口本	hkbf
